id,name,quantity,unit,price,date
BD-2
Bình Dương
1000000009,Thỏ 7 màu,1.0,con,9999999,3/7/2023
1000000001,YSL Y EDP,100.0,ml,2850000,5/7/2023
1000000025,Quyền trượng Rhea,5.0,chiếc,2220000,1/7/2023
1000000024,Băng nhẫn Skadi,8.0,chiếc,2150000,1/7/2023
1000000022,Kiếm Fafnir,6.0,chiếc,2040000,1/7/2023
1000000021,Thương Longinus,2.0,chiếc,2030000,1/7/2023
1000000023,Kiếm Muramasa,22.0,chiếc,2020000,1/7/2023
1000000027,Kẹo dâu,10.0,hộp,2000000,2/7/2023
1000000015,Tinh dầu Sà Cân,200.0,ml,2000000,6/7/2023
1000000004,Dép Eo Vì,300.0,đôi,2000000,1/7/2023
1000000005,Thuốc lào Tiên Lãng,10.0,kg,1500000,4/7/2023
1000000003,Iphone 8 mắt,15.0,chiếc,1000000,4/7/2023
1000000020,Phóng Lợn,20.0,chiếc,999999,2/7/2023
1000000013,Mực Khô,15.0,kg,800000,2/7/2023
1000000018,Áo Luôn Vui Tươi,500.0,chiếc,250000,2/7/2023
1000000017,Lá chuối khô,20.0,kg,123456,4/7/2023
1000000026,SIÊU PHẨM: Yasuo,1.0,bộ,123123,1/7/2023
1000000016,Mũ Gu Chì,13.0,chiếc,100000,3/7/2023
1000000002,Quần đôn chề,3.0,chiếc,20000,5/7/2023
1000000014,Bia Hà Lội,200.0,lít,20000,6/7/2023
1000000028,Cháo hành,200.0,bát,5000,3/7/2023
1000000029,Trà đá,700.0,cốc,4000,2/7/2023
1000000019,Tuổi trẻ đáng giá bao nhiêu,1.0,quyển,5,6/7/2023
